year,school-1,school-2,score-1,score-2,school-1-result
2012,Newton North,Walpole,,,
2012,Newton North,Wellesley,,,
2012,Newton North,Weymouth,,,
2012,Norwood,Walpole,,,
2012,Norwood,Wellesley,,,
2012,Norwood,Weymouth,,,
2012,Walpole,Wellesley,,,
2012,Walpole,Weymouth,,,
2012,Wellesley,Weymouth,,,
2011,Braintree,Brookline,,,
2011,Braintree,Dedham,,,
2011,Braintree,Framingham,,,
2011,Braintree,Natick,,,
2011,Braintree,Needham,87,94,L
2011,Braintree,Newton North,,,
2011,Braintree,Norwood,,,
2011,Braintree,Walpole,,,
2011,Braintree,Wellesley,,,
2011,Braintree,Weymouth,,,
2011,Brookline,Dedham,,,
2011,Brookline,Framingham,,,
2011,Brookline,Natick,,,
2011,Brookline,Needham,,,
2011,Brookline,Newton North,,,
2011,Brookline,Norwood,,,
2011,Brookline,Walpole,,,
2011,Brookline,Wellesley,,,
2011,Brookline,Weymouth,,,
2011,Dedham,Framingham,,,
2011,Dedham,Natick,,,
2011,Dedham,Needham,67,105,L
2011,Dedham,Newton North,,,
2011,Dedham,Norwood,,,
2011,Dedham,Walpole,,,
2011,Dedham,Wellesley,,,
2011,Dedham,Weymouth,,,
2011,Framingham,Natick,,,
2011,Framingham,Needham,81.6,104.3,L
2011,Framingham,Newton North,,,
2011,Framingham,Norwood,,,
2011,Framingham,Walpole,,,
2011,Framingham,Wellesley,,,
2011,Framingham,Weymouth,,,
2011,Natick,Needham,82,103,L
2011,Natick,Newton North,,,
2011,Natick,Norwood,,,
2011,Natick,Walpole,,,
2011,Natick,Wellesley,,,
2011,Natick,Weymouth,,,
2011,Needham,Newton North,97,89,W
2011,Needham,Norwood,,,
2011,Needham,Walpole,88,96,L
2011,Needham,Wellesley,96,85,W
2011,Needham,Weymouth,,,
2011,Newton North,Norwood,,,
2011,Newton North,Walpole,,,
2011,Newton North,Wellesley,,,
2011,Newton North,Weymouth,,,
2011,Norwood,Walpole,,,
2011,Norwood,Wellesley,,,
2011,Norwood,Weymouth,,,
2011,Walpole,Wellesley,,,
2011,Walpole,Weymouth,,,
2011,Wellesley,Weymouth,,,
2010,Braintree,Brookline,,,
2010,Braintree,Dedham,,,
2010,Braintree,Framingham,,,
2010,Braintree,Natick,,,
2010,Braintree,Needham,85,92,L
2010,Braintree,Newton North,,,
2010,Braintree,Norwood,,,
2010,Braintree,Walpole,,,
2010,Braintree,Wellesley,,,
2010,Braintree,Weymouth,,,
2010,Brookline,Dedham,,,
2010,Brookline,Framingham,,,
2010,Brookline,Natick,,,
2010,Brookline,Needham,82,98,L
2010,Brookline,Newton North,,,
2010,Brookline,Norwood,,,
