year,division,place,school,score
2006,Division 2 State,14,Apponequet Regional,34
2006,Division 2 State,15,Ursuline Academy,32
2006,Division 2 State,16,Dracut,30
2006,Division 2 State,17,Academy Notre Dame-Tyngsboro,19
2006,Division 2 State,18,Wellesley,16
2006,Division 2 State,18,Westwood,16
2006,Division 2 State,20,Seekonk,15
2006,Division 2 State,21,Canton,14
2006,Division 2 State,22,Notre Dame Academy - Worcester,4
2005,Division 1 State,1,Andover
2005,Division 1 State,2,Chelsford
2005,Division 2 State,1,Notre Dame Hingham
2005,Division 2 State,2,Bishop Stang
2004,Division 1 State,1,Andover
2004,Division 1 State,2,Acton-Boxborough
2004,Division 2 State,1,Central Catholic
2004,Division 2 State,2,Bishop Stang
2003,State,1,Andover,244
2003,State,2,Acton-Boxborough,127
2003,State,3,Notre Dame Academy - Hingham,125.50
2003,State,4,Seekonk,107
2003,State,5,Belmont,106
2003,State,6,Chelmsford,94
2003,State,7,Needham,69
2003,State,8,Apponequet Regional,67
2003,State,9,Westwood,54
2003,State,10,Framingham,48
2003,State,11,Bishop Feehan,42
2003,State,12,Milford,37
2003,State,13,Melrose,33
2003,State,13,Newton North,33
2003,State,15,"Central Catholic, Lawrence",27
2003,State,16,Cambridge Rindge & Latin,22
2003,State,16,Brockton,22
2003,State,18,Duxbury,19
2003,State,18,Haverhill,19
2003,State,20,Notre Dame Academy - Worcester,14
2003,State,21,Burlington,13
2003,State,22,Ursuline,11
2003,State,23,Reading,10
2003,State,23,Natick,10
2003,State,25,Bishop Stang,8.50
2003,State,26,Lexington,8
2003,State,27,"Academy of Notre Dame,Tyngsbor",7
2003,State,28,New Bedford,4
2003,State,28,Lowell,4
2003,State,30,Brookline,3
2003,State,30,Dedham,3
2003,State,30,Attleboro,3
2003,State,33,Winchester,1
2002,State,1,Andover
2002,State,2,Acton-Boxborough
2001,State,1,Andover
2001,State,2,Chelmsford
2000,State,1,Andover,305
2000,State,2,Chelmsford,167
2000,State,3,Belmont,150
2000,State,4,Acton-Boxboro,146
2000,State,5,Duxbury,122
2000,State,6,Bishop Feehan,80
2000,State,7,Newton North,62
2000,State,8,Milford,57
2000,State,9,Notre Dame Hingham,55
2000,State,10,Notre Dame Tyngsboro,46
2000,State,11,New Bedford,45
